"intent","root_id","customer_text","why_this_is_representative","_kind","_keep"
"booking_issue","536447","@GWRHelp is your website down or having issues? I can't book a train home on the 15th December and I could the other day","Website outage blocking a booking","prototypical","y"
"booking_issue","24134","@GWRHelp Your website is saying “advanced fares released in late October”, but it's now November and still no advanced fares are showing. https://t.co/ekqOo0vDS0","Website not showing fares that should be on sale","prototypical","y"
"booking_issue","608298","@GWRHelp I'm trying to buy a return ticket to London via your website yet when I click on what station I want to collect my ticket from (ticket machine), Penzance isn't listed! Why? I would hate to have to use another online booking site.","Booking flow error on the website","prototypical","y"
"booking_issue","755688","The new @GWRHelp website is absolutely useless! Won't let me pay for a sleeper cabin without reserving a seat that it won't let me reserve?!","Booking flow contradiction preventing purchase","prototypical","y"
"booking_issue","1127473","HI @GWRHelp are you aware that your website doesn't integrate with national rail's and is so slow it has taken me days to buy ticket?","Website integration and speed blocking purchase","prototypical","y"
"booking_issue","1218683","@GWRHelp Something up with your website? Reset my password and its refusing to take it. Mildly infuriating.","Website account problem","prototypical","y"
"booking_issue","1359424","@GWRHelp What is happening with your online booking system, I am trying to book a ticket to Bristol with no luck so far.","Online booking system failing","prototypical","y"
"booking_issue","1753891","@GWRHelp Hey I'm trying to book tickets for this weekend on your website but it keeps telling me there's a problem with your booking system?","Booking system error blocking a purchase","boundary","y"
"booking_issue","1844212","@GWRHelp Have seats for Newport SW to Bristol TM on Dec 24th (return Dec 27th) been released yet? Website states 'no more seats available'.","Website availability inconsistent with expectation","boundary","y"
"booking_issue","25137","Hi @GWRHelp when will London-Cornwall xmas tickets be released? Website says late October. Thanks!","Fare release timing question with a website dependency","boundary","y"
"booking_issue","649551","Got to love @GWRHelp website as reliable as the trains.","Short sarcastic complaint about the website","short","y"
"booking_issue","955931","@GWRHelp have you got problems on website atm? it's not accepting payment.","Short website payment failure report","short","y"
"timetable_info","48827","@GWRHelp what is the next train to Southall after the 16:57 from EAL.","Next-train enquiry","prototypical","y"
"timetable_info","1306643","@GWRHelp Which platform will the train go from Reading station to Gatwiick Airport at732 am","Platform enquiry for a specific service","prototypical","y"
"timetable_info","944571","Nice to see that you have new trains @GWRHelp Do you have a timetable for these?","Asks whether a timetable for new trains exists","prototypical","y"
"timetable_info","1517481","@GWRHelp Hello, just inquiring of when will the 387's be running between London #Paddington and #Reading?","Asks when specific rolling stock will start operating","prototypical","y"
"timetable_info","1930492","@GWRHelp hi guys, any idea when the Christmas 2017 timetable will be available - need to book for 27&amp;28 Dec :-)","Asks when a seasonal timetable will publish","prototypical","y"
"timetable_info","529884","@GWRHelp what time does the 9.13 from Paddington arrive into Cardiff? The app says 12.30 but my friend told otherwise","Arrival-time question for a specific service","boundary","y"
"timetable_info","1408696","@GWRHelp I have an off peak return ticket to Southampton tomorrow, what time can I use this?","Asks about travel-time restrictions on a ticket type","boundary","y"
"timetable_info","2087808","@GWRHelp Hi can you tell me the next train from reigate to Guildford- app suggests the next one is cancelled.","Next-train query with a caveat about a cancellation","boundary","y"
"timetable_info","1408697","@GWRHelp when is the next train from Exeter to Bristol","Short next-train query","short","y"
"timetable_info","1948985","@GWRHelp @575798 @272021 . 2/2 Telling people to wait 86 or 125 mins for next train for people going to work is NOT appropriate.","Short complaint about next-train gaps","short","y"
"service_disruption","19024","@GWRHelp not a happy #pregnant #commuter 0503 train from Carmarthen to Manchester Piccadilly cancelled but due to issue ongoing for 2days!","Reports a live cancellation affecting travel","prototypical","y"
"service_disruption","43988","@GWRHelp what's happening with the 15:48 FIT to CDU board says cancelled a traveller on Train tells me it's left Bristol TM?","Live cancellation uncertainty on a specific service","prototypical","y"
"service_disruption","132093","@GWRHelp why is 7:34 from Didcot to Paddington cancelled - AGAIN !!?","Repeated cancellation of a specific service","prototypical","y"
"service_disruption","133160","@GWRHelp Lawrence hill to Clifton cancelled again. How am I supposed to make my 8:30am meeting?","Live cancellation with time pressure","prototypical","y"
"service_disruption","109670","@GWRHelp trains were a shambles into Paddington - why are there no trains to Didcot this evening? Also when do you calll a void day - this is a disgrace? - no announcements what is happening - station empty on trains?","Line-level service breakdown with no trains running","prototypical","y"
"service_disruption","443936","@GWRHelp no trains from Cholsey to Paddington for nearly an hour now. How do I claim for this?","No-service gap on a route","boundary","y"
"service_disruption","156561","I don't understand how the @GWRHelp trains are so terrible. Connections between Bristol to Cardiff are consistently delayed or cancelled and it's wasting my time and money over and over again. Terrible service. Will travel by @151960 in future!","Pattern of cancellation and delay on a route","boundary","y"
"service_disruption","133166","Why was the 7:21 from St Austell to Truro cancelled? @GWRHelp","Short cancellation query","short","y"
"service_disruption","251180","#gwr train from Burnham to London just cancelled again. Why? @GWRHelp","Short repeated-cancellation complaint","short","y"
"service_disruption","583437","@GWRHelp is the 13.41 from Reading station to Sheffield cancelled??","Short cancellation-check question","short","y"
"seat_reservation","166275","@GWRHelp Can I please reserve a seat on the 0900 departure from Brighton tomorrow between BTN-SOU at a window in the direction of travel at all? Thanks","Direct seat reservation request","prototypical","y"
"seat_reservation","63784","@GWRHelp it doesn't really work when you only switch on seat reservations halfway through the journey of the new IET. Don't bother with your own reserved seat, sit somewhere else and then, bingo, you've got to move. How hard can this be?","Complaint about a broken reservation system","prototypical","y"
"seat_reservation","504143","@GWRHelp are you joking with this service to Plymouth? What am I paying for if the coach I have a reserved seat in is missing? Not quite the same standing in the corridor... https://t.co/fe1N2LAHqc","Reserved coach missing from the train","prototypical","y"
"seat_reservation","637864","Chaos in coach B on @GWRHelp 1903 service from #Paddington 2 Plymouth rammed full &amp; people who have seats reserved can't get 2 them &amp; season ticket holders who pay 000s but can't reserve seats refusing 2 move!","Seat reservations unusable due to overcrowding","prototypical","y"
"seat_reservation","984921","@GWRHelp I have a super off peak ticket returning from Bath to London today. If I made a seat reservation do I have to travel on that train?","Question about reservation rules","prototypical","y"
"seat_reservation","1013321","@GWRHelp was impressed with my train today from reading to Exeter had to stand all the way even though I had a reserved seat.","Reserved seat not honoured","prototypical","y"
"seat_reservation","1320201","@GWRHelp I booked my train to Swansea and I was in booked in coach B but the train has no coach B???","Booked coach does not exist on the actual train","boundary","y"
"seat_reservation","1940947","@GWRHelp any reason why you've given me &amp; my partner reserved seats in coach H on the 19:18 from Bath to Pad when that coach does not exist?","Booked coach H missing from the train","boundary","y"
"seat_reservation","1115610","@GWRHelp my seat reservation didn't go through for tomorrow. Please help :(","Short reservation failure","short","y"
"seat_reservation","2271834","@GWRHelp seats reserved coach E. Get to train. 'No coach E' assume we get money back? Because we payed for seats and didnt get any.","Short reserved-coach-missing complaint","short","y"
"lost_property","5436","@GWRHelp Hello i've left my iphone on the train, i was on 22.35 from Ealing Broadway to Langley 22.57. Can you help?","Item left on a specific service","prototypical","y"
"lost_property","106406","@GWRHelp hello my friend left a Bath Gin bag on the most recent reading to Redhill service, containing two bottles. Any chance someone has seen it and handed it in?","Item left on a train, asked about hand-in","prototypical","y"
"lost_property","174901","@GWRHelp I lost my iPhone 6+ either at Bristol Templemeads or on the 23:06 train to Exeter St David, how do find it's been handed in please","Lost item, query about hand-in process","prototypical","y"
"lost_property","1516718","@GWRHelp I've left my suitcase on 17:45 Pad to Swansea train. What do I do?","Item left, asks what to do next","prototypical","y"
"lost_property","2027711","@GWRHelp I stupidly left my bicycle helmet on the 17:22 PAD:EVE this evening (at Evesham). How do I try and recover it?","Left item, asks about recovery process","prototypical","y"
"lost_property","2248961","@GWRHelp a friend of mine lost a Nikon camera last night between St Austell &amp; Penryn it's old and not worth much but had sentimental value, has it been handed in?","Lost camera, asks if handed in","prototypical","y"
"lost_property","2250100","@GWRHelp Dad left a black card wallet (HSBC Premier) near seat 54 in D on 17:52 RDG to PAD. Senior railcard and loyalty cards in it","Left item on a specific service","boundary","y"
"lost_property","624006","@GWRHelp I don't suppose anyone has handed in a handmade felted wool brooch. Lost between Didcot and Oxford yesterday. Depicts blue sky, green field, red embroidered poppies. Fingers crossed.","Detailed lost-item report","boundary","y"
"lost_property","277005","@GWRHelp just left a bag on the 2341 from ealing to maidenhead - can you help? Thank you","Short left-item report","short","y"
"lost_property","2258476","@GWRHelp help. Just got off in Cranbrook and forgot my red suitcase on the train headed to Exeter st David's. It's completely empty.","Short forgotten-item report","short","y"
"on_board_issue","538421","@GWRHelp Currently on a train where everyones standing crammed in the aisles. After we boarded 1st time everyone was told to get off bc train had to be 'cleaned'. Delayed by 30 min, no seats - theres 1 person in 1st class who has 2 carriages to himself. Ticket cost £80 - bargain!","Onboard overcrowding and cleanliness complaint","prototypical","y"
"on_board_issue","595863","Really @GWRHelp I took trains from London to Cardiff and back this weekend and it took me a total of more than 10 hours. No seats for most of it. Please sort out this line it's horrendous.","No seats for most of a return journey","prototypical","y"
"on_board_issue","913327","Glad I paid £40 to be next to a flooded toilet on @GWRHelp","Toilet condition complaint","prototypical","y"
"on_board_issue","1524968","@GWRHelp what an unpleasant experience on a packed train to London Paddington today. How do you even get to the toilet? Rammed, overcrowded, stressful - not like your Enid Blyton adverts at all!","Packed-train complaint affecting basic amenities","prototypical","y"
"on_board_issue","1805005","@GWRHelp obviously standing room only (claustrophobic) on the 19.15 to swansea this eve. Wouldnt mind if it wasnt for the ££££ spent 4ticket","Standing-room-only complaint","prototypical","y"
"on_board_issue","1953917","Heads up that every Sunday the PM services Westbury-LDN are overbooked and overpriced. No seats/loos/food due to overcrowding. @gwrhelp","Overcrowding affecting onboard facilities","prototypical","y"
"on_board_issue","2202619","@GWRHelp why is there only two carriages on most trains from PAD to MAI when every train looks like this. I don't particularly enjoy being squashed next to the toilet #GWR #SortItOut https://t.co/TJjrotW5cW","Short trains causing overcrowding","boundary","y"
"on_board_issue","1532521","@GWRHelp traveled from London to Bristol standing the entire way with rude staff to top it off. You should be ashamed #robbery","Standing plus staff conduct complaint","boundary","y"
"on_board_issue","768227","Just boarded 7.55am from Chip - Pad and it's standing room only @GWRHelp another great journey with you! #GWRAdventures","Short standing-room complaint","short","y"
"on_board_issue","2313011","Another excellent journey with @GWRHelp - who doesn't want to stand by the toilet for hours on end? And paying £60 for the pleasure....","Short sarcastic onboard complaint","short","y"
"on_board_issue","2719683","It's raining. 1 ticket machine OOO. Train late. No seat reservations. Standing room only for a 2 hour trip.Thanks @GWRHelp #happymonday @61","Short multi-issue onboard complaint","short","y"
"praise_or_chatter","90732","Took this pic while riding the marvellous Riviera Line yesterday. I've completed mission in South West England which included riding all the branch lines. Big thanks to all the helpful @GWRHelp staff and thanks for allowing me to do my photography 😀 #Devon #Dawlish #Teignmouth https://t.co/GamZrACck5","Enthusiast post with genuine thanks","prototypical","y"
"praise_or_chatter","90746","Fantastic service from Mark on the @GWRHelp ticket desk at Bristol Temple Meads getting us back to London. Many thanks.","Specific named-staff praise","prototypical","y"
"praise_or_chatter","153516","@GWRHelp amazing staff at #Oxford thank you for making our day fantastic! https://t.co/GFoDY4NDuH","Compliment to station staff","prototypical","y"
"praise_or_chatter","548799","What a lovely time at Bath Christmas Market with a good friend I don't see often enough. The station was heaving but @GWRHelp staff are doing an amazing job organising the seriously long queues for the platforms.","Praise for staff under pressure","prototypical","y"
"praise_or_chatter","548805","It's the little things! Thank you @GWRHelp for the chocolate whilst we wait 🍬 #tistheseason #bathchristmasmarket 🎄 https://t.co/q06YX0OREH","Praise for a specific gesture","prototypical","y"
"praise_or_chatter","576130","@GWRHelp Please thank the amazing team at Bath Spa for their efficiency and cheerfulness while we queued to get onto trains yesterday. Great job!","Requests a thank-you be passed on","boundary","y"
"praise_or_chatter","478811","#firstgreatwestern thanks to the cheery guard who brightened the journey😀","Short praise for a staff member","short","y"
"praise_or_chatter","555198","Thanks @GWRHelp https://t.co/BoWpn2DFDZ","Short thanks with an image","short","y"
