"root_id","customer_text","suggested_intent","suggestion_confidence","_source","true_intent","confidence","rationale","_labeler","_labeled_at","_method","initial_suggestion","suggestion_source","human_confirmed","human_changed","human_changed_to"
"133135","@GWRHelp hi, why is the 07.53 TWY-PAD crawling? What time are we due into PAD? Late again?!","other","0.096","targeted:timetable_info","delay_compensation","high","rule: timetable/next train","auto-cascade-v1","2026-09-13T13:20:43+00:00","rule","other","rule","y","y","delay_compensation"
"145571","@GWRHelp there was a train from Paddington to Cardiff last night (after 9pm) that was cancelled, I believe, but can't go back far enough on your tools to pinpoint it. Any help? Thanks.","service_disruption","0.185","natural","service_disruption","high","rule: live cancellation/disruption","auto-cascade-v1","2026-09-13T13:20:43+00:00","rule","service_disruption","rule","y","",""
"154842","Delayed and now diverted via God only knows where (Trowbridge, Melksham and Swindon) - just another crappy Friday trip on @GWRHelp. Refund should be in order today!","refund_request","0.35","targeted:refund_request","refund_request","high","rule: explicit refund","auto-cascade-v1","2026-09-13T13:20:43+00:00","rule","refund_request","rule","y","",""
"154873","I don’t know why I bother with a standing desk at work. I get to stand morning and evening with @GWRHelp","other","0.095","natural","on_board_issue","low","weak TF-IDF match; falls outside defined intents","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-low","other","tfidf-low","y","y","on_board_issue"
"154936","@GWRHelp unbearable trip to Bristol on an 'off peak' 16:30 service from Paddington to Bristol Temple Meads. Not even enough room to stand in the isles and £77 for the privilege #daylightrobbery https://t.co/xV0f10eKaz","delay_compensation","0.119","natural","on_board_issue","low","top-2 intents equally close (see sims)","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-ambig","delay_compensation","tfidf-ambig","y","y","on_board_issue"
"161842","@GWRHelp Hello. Any chance of some extra carriages on rush hour services between Bath and Bristol during Christmas Market? Lots of people standing and others unable to board today due to extra visitors/shoppers.","on_board_issue","0.111","natural","on_board_issue","medium","tfidf moderate match","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-med","on_board_issue","tfidf-med","y","",""
"174072","Another late/delayed @GWRHelp train. I've had atleast one late/delayed train for the past 3 weeks.","delay_compensation","0.227","natural","delay_compensation","high","tfidf strong match","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-high","delay_compensation","tfidf-high","y","",""
"446419","@GWRHelp  was first person in carriage on 18.47 from Padd and had full choice of seats, but because you didn't put out reserved signs I got bumped off at last minute and have to stand, what are you going to do, refund my ticket?","refund_request","0.274","natural","refund_request","high","rule: explicit refund","auto-cascade-v1","2026-09-13T13:20:43+00:00","rule","refund_request","rule","y","",""
"471478","@GWRHelp please advise how to stop text alerts?","other","0.056","natural","other","low","weak TF-IDF match; falls outside defined intents","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-low","other","tfidf-low","y","",""
"477869","@GWRHelp Recieved horrendous customer service from your staff at Paddington today. You have your customers over a barrel and you know it.","on_board_issue","0.103","natural","on_board_issue","low","top-2 intents equally close (see sims)","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-ambig","on_board_issue","tfidf-ambig","y","y","on_board_issue"
"480894","@GWRHelp hey i ordered some tickets on 21st and I opted to have them posted but they haven't arrived. Could someone look in to it for me please?","booking_issue","0.111","natural","booking_issue","medium","tfidf moderate match","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-med","booking_issue","tfidf-med","y","",""
"493193","Shocking cattle carrier of two coaches rammed to the rafters all the way from Exeter to Paignton (that’s an hour!) on a Friday evening to the sth west coast! Are you for real @GWRHelp ?☹️ @145773 @128411","other","0.05","natural","on_board_issue","low","weak TF-IDF match; falls outside defined intents","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-low","other","tfidf-low","y","y","on_board_issue"
"529892","@GWRHelp extremely disappointed that the Maidenhead to PAD didn’t wait for the 3 minute delayed Oxford to Maidenhead Service, especially as the trains are truncated services today. 30min wait here now and will be an hour late to my final destination now.","other","0.072","natural","delay_compensation","low","weak TF-IDF match; falls outside defined intents","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-low","other","tfidf-low","y","y","delay_compensation"
"534565","Train to Cardiff completely rammed. 3 coaches on a Wales international day. Way to go @GWRHelp 💩","other","0.073","natural","on_board_issue","low","weak TF-IDF match; falls outside defined intents","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-low","other","tfidf-low","y","y","on_board_issue"
"543036","Looking forward to next week - have a packed week meeting with the @GWRHelp #GWRTrains team talking #WestCountry... https://t.co/TRrTG3c3dA","other","0.043","natural","other","high","rule: onboard condition","auto-cascade-v1","2026-09-13T13:20:43+00:00","rule","other","rule","y","y","other"
"544280","@GWRHelp hi. website says adv tx from pad/rdg to exe/pnz now avail until 17/5/18. so why when trying to book pad-pnz on 4may does it say ""only avail 3 months in advance""?","booking_issue","0.295","targeted:booking_issue","booking_issue","high","tfidf strong match","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-high","booking_issue","tfidf-high","y","",""
"556902","@GWRHelp So let me get this straight, the train is cancelled due 'one' member of the train staff can't make it.  Surely there are backups in place, in case this happens.  It's called 'Risk.'  Get your management team to look it up next time out.","service_disruption","0.169","natural","service_disruption","high","rule: live cancellation/disruption","auto-cascade-v1","2026-09-13T13:20:43+00:00","rule","service_disruption","rule","y","",""
"580700","Love the new @GWRHelp livery. Haven't been on one yet, does the interior look as distinguished as the exterior?","other","0.063","natural","praise_or_chatter","high","rule: praise","auto-cascade-v1","2026-09-13T13:20:43+00:00","rule","other","rule","y","",""
"580725","@GWRHelp purchased advance MAI to Bath Spa via RDG. 10:31 to RDG. cancelled. I complete my part of the contract in good faith, keep up yours please. Will be claiming refund as matter of principle. Shocking service.","refund_request","0.221","targeted:refund_request","refund_request","high","rule: explicit refund","auto-cascade-v1","2026-09-13T13:20:43+00:00","rule","refund_request","rule","y","",""
"582246","@GWRHelp So I’m sat on the stalled 12.30 train to Bristol at Chippenham, &amp; will miss my connection to Cardiff to watch a show. I presume you’ll reimburse my show tickets? Email address please...","timetable_info","0.134","targeted:refund_request","refund_request","high","rule: explicit refund","auto-cascade-v1","2026-09-13T13:20:43+00:00","rule","timetable_info","rule","y","",""
"594473","@GWRHelp will off peak tickets bought for today be valid for use tomorrow at rush hour???","other","0.088","natural","other","low","weak TF-IDF match; falls outside defined intents","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-low","other","tfidf-low","y","",""
"595877","Brilliant. Another delayed @GWRHelp train costs me an hour of my life. Monopolised scum, it truly is.","delay_compensation","0.19","natural","delay_compensation","high","rule: praise","auto-cascade-v1","2026-09-13T13:20:43+00:00","rule","delay_compensation","rule","y","y","delay_compensation"
"595947","What If it is not dated for today but an open return? @GWRHelp https://t.co/iSmWwT0yg0","other","0.057","natural","other","low","weak TF-IDF match; falls outside defined intents","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-low","other","tfidf-low","y","",""
"605222","@GWRHelp why do I constantly find Theale car park full? Forced to park 0.5 miles away. Station master says it’s used by Amazon staff for adjacent depot. @AmazonHelp","praise_or_chatter","0.142","natural","other","medium","tfidf moderate match","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-med","praise_or_chatter","tfidf-med","y","y","other"
"624027","@GWRHelp Hi any idea what's happening with the 16.03 Exeter St Davids to London Paddington? Thanks","timetable_info","0.16","natural","service_disruption","high","rule: praise","auto-cascade-v1","2026-09-13T13:20:43+00:00","rule","timetable_info","rule","y","y","service_disruption"
"624055","@GWRHelp I spoke with an advisor who said I can get a refund or discount on my next months season ticket due to the cancellations/delays I’ve had this current month. How do i get this discount? There’s no where to do it online.","refund_request","0.312","natural","refund_request","high","rule: explicit refund","auto-cascade-v1","2026-09-13T13:20:43+00:00","rule","refund_request","rule","y","",""
"634082","@GWRHelp DO I NEED TO GETTHE 16:45 OR IS THE 16:49 AN 8 CAR HST AS ITS SUPPOSED TO BE ? https://t.co/nmnn5mvyVg","other","0.088","natural","other","low","weak TF-IDF match; falls outside defined intents","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-low","other","tfidf-low","y","",""
"640754","@GWRHelp it’s me again... you may remember me? You made me late for work again this morning... ha ha ha great stuff. Anyways this evening im trying to get Home. You’ll never guess what, your gonna f*#k that up for me too! No trains from Paddington to Didcot! Ah GWR classic bants","service_disruption","0.139","natural","service_disruption","high","rule: live cancellation/disruption","auto-cascade-v1","2026-09-13T13:20:43+00:00","rule","service_disruption","rule","y","",""
"673796","@GWRHelp what’s happened to the 0930 Bristol TM - Paddington?","service_disruption","0.145","natural","service_disruption","medium","tfidf moderate match","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-med","service_disruption","tfidf-med","y","",""
"700602","@GWRHelp are we going to move the 1536 SWI-Cheltenham today? It’s rammed, late and I’m going to miss my connection home. The London cancellations should have no bearing on this.","other","0.08","natural","on_board_issue","low","weak TF-IDF match; falls outside defined intents","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-low","other","tfidf-low","y","y","on_board_issue"
"724676","@GWRHelp I'm on a train heading from London and almost at Maidenhead and there is a bag on the seat unattended.  I'm in the front of the second carriage","lost_property","0.136","natural","other","low","top-2 intents equally close (see sims)","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-ambig","lost_property","tfidf-ambig","y","y","other"
"733207","@GWRHelp 9:27 from PAD delayed because driver not allowed to drive without a break. Do you have only one driver for this service?","other","0.075","natural","delay_compensation","low","weak TF-IDF match; falls outside defined intents","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-low","other","tfidf-low","y","y","delay_compensation"
"733248","@GWRHelp Bloody ridiculous 07:53 TWY-PAD again 3 carriage turbo! What are you playing at - we are not sardines! Should I just be grateful you let people on today unlike yesterday?!","other","0.085","natural","on_board_issue","high","rule: onboard condition","auto-cascade-v1","2026-09-13T13:20:43+00:00","rule","other","rule","y","",""
"751442","@GWRHelp hi are doing anything on Saturday to help people get to Guildford for the University open day given the issues at Reading?","timetable_info","0.112","natural","timetable_info","medium","tfidf moderate match","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-med","timetable_info","tfidf-med","y","",""
"753312","Why am I still waiting for claims for the 2 x void days at the start of July @GWRHelp ?","other","0.094","natural","refund_request","low","weak TF-IDF match; falls outside defined intents","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-low","other","tfidf-low","y","y","refund_request"
"759395","@GWRHelp you've cancelled the 21:27 departure from Oxford to Hanborough, as it now ends at Oxford. Any replacement service?","service_disruption","0.128","natural","service_disruption","high","rule: live cancellation/disruption","auto-cascade-v1","2026-09-13T13:20:43+00:00","rule","service_disruption","rule","y","",""
"782121","@GWRHelp third time this week the seat reservations have been double booked between didcot &amp; Paddington Can you sort this out please.","seat_reservation","0.149","natural","seat_reservation","medium","tfidf moderate match","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-med","seat_reservation","tfidf-med","y","",""
"783612","@GWRHelp Are trains running to Parkway from 1730?","other","0.095","natural","timetable_info","low","weak TF-IDF match; falls outside defined intents","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-low","other","tfidf-low","y","y","timetable_info"
"783626","Service (if you can call it that) as usual on @GWRHelp with no functioning WiFi. They are quite simply inept 😡","other","0.079","natural","on_board_issue","low","weak TF-IDF match; falls outside defined intents","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-low","other","tfidf-low","y","y","on_board_issue"
"785970","@GWRHelp Hi. Just been made aware on train that my return Advance ticket on Sat 14th Pad&gt;Swa has been cancelled by u. Please confirm ASAP I can travel on peak time train on Fri 13th as website indicates instead. Weekend plans ruined!","booking_issue","0.273","targeted:booking_issue","service_disruption","high","rule: live cancellation/disruption","auto-cascade-v1","2026-09-13T13:20:43+00:00","rule","booking_issue","rule","y","",""
"807150","Absolutely awful service again on @GWRHelp . Doorways, aisles and even seats blocked by bikes and suitcases. Wonder what @31439 would say?","other","0.094","natural","on_board_issue","low","weak TF-IDF match; falls outside defined intents","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-low","other","tfidf-low","y","y","on_board_issue"
"810043","standard response @gwrhelp &amp; it’s not your fault (ie the cust serv person reading this) but pls understand we’re asking a specific question https://t.co/xjdYmMnLuF","other","0.053","natural","other","low","weak TF-IDF match; falls outside defined intents","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-low","other","tfidf-low","y","",""
"838857","@GWRHelp hi, will the 0144 Paddington to Maidenhead tonight have a rail replacement service meeting it to continue on to Reading?","other","0.085","natural","timetable_info","low","weak TF-IDF match; falls outside defined intents","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-low","other","tfidf-low","y","y","timetable_info"
"846286",".@GWRHelp Very weird that the ticket I want for tomorrow is just not possible, yet other online companies can do this.","booking_issue","0.105","natural","booking_issue","medium","tfidf moderate match","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-med","booking_issue","tfidf-med","y","",""
"846408","@GWRHelp I booked a ticket ref 9NBJ6T63-I really want to push the outbound journey back to 1.52pm do I really have to pay £20 to do this?","seat_reservation","0.107","natural","booking_issue","medium","tfidf moderate match","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-med","seat_reservation","tfidf-med","y","y","booking_issue"
"853495","@gwrhelp lost a file on the delayed 9am Paddington to Bristol Temple Mead today if anyone has it? Please help. Have reported.","lost_property","0.137","natural","lost_property","high","rule: lost item","auto-cascade-v1","2026-09-13T13:20:43+00:00","rule","lost_property","rule","y","",""
"861973","@gwrhelp yet again travelling between Gloucester and Worcester a nightmare. Early train cancelled this one 25 mins late","service_disruption","0.162","natural","service_disruption","high","rule: live cancellation/disruption","auto-cascade-v1","2026-09-13T13:20:43+00:00","rule","service_disruption","rule","y","",""
"882032","@GWRHelp thanks for packing my train to the rafters, I love wallowing in sweaty pit smell, it's the start to my weekend I needed :)","other","0.084","natural","on_board_issue","high","rule: praise","auto-cascade-v1","2026-09-13T13:20:43+00:00","rule","other","rule","y","y","on_board_issue"
"893366","Poor info service to customers @GWRHelp, waiting 40 min for a train due 2 breakdown, your staff should be guiding customers to alt services","on_board_issue","0.114","natural","on_board_issue","medium","tfidf moderate match","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-med","on_board_issue","tfidf-med","y","",""
"894489","@GWRHelp chaos with the seats on the 09.57 to Bristol Temple Meades. No reservation slips so people thinking they have a seat being asked to move on a packed train and awkward reservation holders needing to ask people to move...","seat_reservation","0.187","natural","seat_reservation","high","rule: onboard condition","auto-cascade-v1","2026-09-13T13:20:43+00:00","rule","seat_reservation","rule","y","y","seat_reservation"
"912814","@GWRHelp Big shout out to Kirk the onboard guard who helped us get our tickets on the 2202 North Camp to Gatwick. #superservice #topbloke","other","0.075","natural","praise_or_chatter","low","weak TF-IDF match; falls outside defined intents","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-low","other","tfidf-low","y","y","praise_or_chatter"
"917820","Thank you @GWRHelp for causing me to miss my connecting train and my appointment and offering no explanation or apology! #poorservice","other","0.098","natural","delay_compensation","high","rule: praise","auto-cascade-v1","2026-09-13T13:20:43+00:00","rule","other","rule","y","y","delay_compensation"
"926351","Buzzing for a day when I  get on a @GWRHelp train and it is on time, realistically this will be never ☺️","timetable_info","0.145","natural","delay_compensation","medium","tfidf moderate match","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-med","timetable_info","tfidf-med","y","y","delay_compensation"
"969655","@GWRHelp Ticket office at Bramley is shut again this morning. What is the plan for Mon 23rd? I need to buy a monthly with 5% discount.","delay_compensation","0.161","natural","other","medium","tfidf moderate match","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-med","delay_compensation","tfidf-med","y","y","other"
"973259","@GWRHelp 21 days for a response to a complaint. Such poor service, seems that customer service is very low priority.","other","0.066","natural","other","low","weak TF-IDF match; falls outside defined intents","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-low","other","tfidf-low","y","",""
"974663","@GWRHelp someone might want to look at your website... no long distance services at Paddington isn't a 'generally good service'! https://t.co/yaku4r4GuH","booking_issue","0.251","targeted:booking_issue","booking_issue","high","rule: website/booking","auto-cascade-v1","2026-09-13T13:20:43+00:00","rule","booking_issue","rule","y","",""
"980096","@GWRHelp Hi, with the Reading to Paddington line closed this weekend can pre booked tickets be used from Waterloo instead?","other","0.098","natural","booking_issue","low","weak TF-IDF match; falls outside defined intents","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-low","other","tfidf-low","y","y","booking_issue"
"982450","@GWRHelp was told to fill this out in order to get a refund, is this correct? https://t.co/xRm5VWYdZR","refund_request","0.457","natural","refund_request","high","rule: explicit refund","auto-cascade-v1","2026-09-13T13:20:43+00:00","rule","refund_request","rule","y","",""
"984031","@GWRHelp Hello, are there any disruptions due to engineering works/rail replacement buses between Twyford and Paddington today please?","refund_request","0.103","natural","service_disruption","high","rule: live cancellation/disruption","auto-cascade-v1","2026-09-13T13:20:43+00:00","rule","refund_request","rule","y","",""
"984924","@GWRHelp I think the 0932 Fareham to bristol could of been a bit larger this morning #noroomatall #leavingpeoplebehind","other","0.064","natural","on_board_issue","low","weak TF-IDF match; falls outside defined intents","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-low","other","tfidf-low","y","y","on_board_issue"
"989094","@GWRHelp on a train from Swindon and Paddington and can’t get a seat, when you pay £50 for a ticket, not good enough 😡😡","seat_reservation","0.155","natural","on_board_issue","medium","tfidf moderate match","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-med","seat_reservation","tfidf-med","y","y","on_board_issue"
"998736","@GWRHelp Help please!? https://t.co/TAbhYDa0rt","lost_property","0.14","natural","lost_property","medium","tfidf moderate match","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-med","lost_property","tfidf-med","y","",""
"1000599","@GWRHelp How far in advance do you release advance fares? Can't find any £15 bristol-london fares at all, regardless of date","other","0.079","natural","booking_issue","low","weak TF-IDF match; falls outside defined intents","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-low","other","tfidf-low","y","y","booking_issue"
"1003234","@GWRHelp is the 18:21 WMN to CDF running?","other","0.049","natural","timetable_info","low","weak TF-IDF match; falls outside defined intents","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-low","other","tfidf-low","y","y","timetable_info"
"1014147","@44464 1928 Didcot - Bristol parkway I can’t sit in my reserved seat, can I get a refund? Heard something on tannoy but didn’t understand!","refund_request","0.273","targeted:seat_reservation","refund_request","high","rule: explicit refund","auto-cascade-v1","2026-09-13T13:20:43+00:00","rule","refund_request","rule","y","",""
"1019111","@GWRHelp i'm travelling from Penryn to Plymouth tomorrow and was wondering if i could take my surfboard on the train, can i do this?","seat_reservation","0.132","natural","other","medium","tfidf moderate match","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-med","seat_reservation","tfidf-med","y","y","other"
"1023370","@GWRHelp we're booked on 16.01 from Exeter to Paddington tomorrow. Can we use tickets on southwest trains?","timetable_info","0.135","natural","booking_issue","medium","tfidf moderate match","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-med","timetable_info","tfidf-med","y","y","booking_issue"
"1034001","@GWRHelp Coukd you confirm if the 07:25 Theale - Lon Pad is delayed as app says it’s cancelled at Frome, delayed and actually on time?","service_disruption","0.162","natural","service_disruption","high","rule: live cancellation/disruption","auto-cascade-v1","2026-09-13T13:20:43+00:00","rule","service_disruption","rule","y","",""
"1034004","@GWRHelp ok - why is my train cancelled? 0626 Chippenham to Padd","service_disruption","0.364","natural","service_disruption","high","rule: live cancellation/disruption","auto-cascade-v1","2026-09-13T13:20:43+00:00","rule","service_disruption","rule","y","",""
"1043949","#GWR must be the worst #rail service in Europe. First train cancelled... next one late, and so full passengers left stranded...@GWRHelp...","service_disruption","0.21","natural","service_disruption","high","rule: live cancellation/disruption","auto-cascade-v1","2026-09-13T13:20:43+00:00","rule","service_disruption","rule","y","",""
"1052825","@GWRHelp Can I upgrade to 1st class on the 1606 PAD-PLY train itself?  If so, how much would it cost?","on_board_issue","0.182","natural","other","medium","tfidf moderate match","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-med","on_board_issue","tfidf-med","y","y","other"
"1061521","Dear @GWRHelp - How many names would it take to make this happen? Thank you in advance, Sam    https://t.co/AmOlpRUwvk","other","0.094","natural","praise_or_chatter","high","rule: praise","auto-cascade-v1","2026-09-13T13:20:43+00:00","rule","other","rule","y","",""
"1073073","@GWRHelp too busy patting themselves on the back over the new trains that don't work properly. GWR are a disgrace.","service_disruption","0.115","natural","other","low","top-2 intents equally close (see sims)","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-ambig","service_disruption","tfidf-ambig","y","y","other"
"1075851","Wanna be a magician? A good magician? Ask for more @GWRHelp. Getting trains to disappear just before arrival, no problem for them, regularly","other","0.065","natural","service_disruption","low","weak TF-IDF match; falls outside defined intents","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-low","other","tfidf-low","y","y","service_disruption"
"1085970","@GWRHelp Got to Paddington at 17:50 and still not in Reading. On a weekend I have to drive to Maidenhead to get train to work instead.","lost_property","0.142","natural","delay_compensation","low","top-2 intents equally close (see sims)","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-ambig","lost_property","tfidf-ambig","y","y","delay_compensation"
"1088169","@GWRHelp what's happening with the 1904 Westbury to Salisbury train?Conflicting info online..cancelled or delayed?Reason??","service_disruption","0.191","natural","service_disruption","high","rule: live cancellation/disruption","auto-cascade-v1","2026-09-13T13:20:43+00:00","rule","service_disruption","rule","y","",""
"1096341","@GWRHelp - thank you for holding the 21.31 from Exeter St Davids to Exmouth tonight to wait for the late running London train 😇","timetable_info","0.123","natural","praise_or_chatter","high","rule: praise","auto-cascade-v1","2026-09-13T13:20:43+00:00","rule","timetable_info","rule","y","",""
"1113132","More excited that I should be about being on a @GWRHelp direct train Bristol to Oxford right now. Not changing at Didcot is a dream. https://t.co/yAWmX46UpJ","service_disruption","0.101","natural","praise_or_chatter","low","top-2 intents equally close (see sims)","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-ambig","service_disruption","tfidf-ambig","y","y","praise_or_chatter"
"1118351","13Oct @GWRHelp 0958Malvern-London CANCELLED again! 1236-London CANCELLED 1251-Weymouth DELAYED by another GWR train what's GREAT about that?","service_disruption","0.23","natural","service_disruption","high","rule: live cancellation/disruption","auto-cascade-v1","2026-09-13T13:20:43+00:00","rule","service_disruption","rule","y","",""
"1122469","Hey @GWRHelp why the delay on Chippenham to Bristol this morning?","other","0.09","natural","delay_compensation","low","weak TF-IDF match; falls outside defined intents","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-low","other","tfidf-low","y","y","delay_compensation"
"1127455","@GWRHelp I'm on 1500 Swindon to Oxford, arriving 1540. Have you arranged with @140497 so we can change on to 1541 to Marylebone?","other","0.061","natural","timetable_info","low","weak TF-IDF match; falls outside defined intents","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-low","other","tfidf-low","y","y","timetable_info"
"1135396","@GWRHelp baffled that this train is unable to provide any form of heat 😩","other","0.086","natural","on_board_issue","low","weak TF-IDF match; falls outside defined intents","auto-cascade-v1","2026-09-13T13:20:43+00:00","tfidf-low","other","tfidf-low","y","y","on_board_issue"
"1138612","@GWRHelp thanks for making pir journey more of a joke. 1.5 hour from PAD to BRI was 3 now a 4 hour journey because you don't have the crew!","on_board_issue","0.113","natural","delay_compensation","high","rule: praise","auto-cascade-v1","2026-09-13T13:20:43+00:00","rule","on_board_issue","rule","y","y","delay_compensation"
