"root_id","customer_text","true_intent","confidence","rationale","_source","suggested_intent","suggestion_confidence","initial_suggestion","suggestion_source","human_confirmed","human_changed","human_changed_to","_labeler","_labeled_at"
"1381687","Nearly made it home to Cornwall on the sleeper train. I'll miss my little cabin. @GWRHelp #NightShift #Trainspotting #Cornwall","praise_or_chatter","low","weak TF-IDF match; falls outside defined intents","natural","other","0.068","other","tfidf-low","y","y","praise_or_chatter","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"131440","@GWRHelp yet again I need to find an alternative, more expensive, way to get to work as I will miss my connecting train.  When will the 07:12 from Crowthorne actually be the 07:12?","delay_compensation","medium","tfidf moderate match","targeted:timetable_info","timetable_info","0.121","timetable_info","tfidf-med","y","y","delay_compensation","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"1819317","Dear @GWRHelp your website says there are no tickets for any trains on Thursday Cardiff-London. Is your site acting up again?","booking_issue","high","rule: website/booking","targeted:booking_issue","booking_issue","0.349","booking_issue","rule","y","","","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"1897157","@GWRHelp how to get a ticket when station closed and ticket machine out of order. Trying to get from burnham to Reading @329647","booking_issue","medium","tfidf moderate match","natural","booking_issue","0.149","booking_issue","tfidf-med","y","","","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"1320194","Hi @GWRHelp coach B seems to be missing from 9:45 to Bristol parkway. Quite a shame as I - and a fair few others - have seats booked on it!","seat_reservation","high","rule: seat reservation","targeted:seat_reservation","seat_reservation","0.325","seat_reservation","rule","y","","","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"1807214","@GWRHelp hello, have had to book a coach to ensure I get back in time. How do I get refund for booked train journey from Padd to Glos?","refund_request","high","rule: explicit refund","targeted:refund_request","seat_reservation","0.266","seat_reservation","rule","y","","","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"1167521","@115793 is there any way to contact Bristol temple meads to ask if they have a bag I left on a train. Ive registered it as lost already","lost_property","high","rule: lost item","natural","lost_property","0.205","lost_property","rule","y","","","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"2275104","Appalling service from @GWRHelp - not telling us until after Filton that the already 45 minutes late train was skipping Temple Meads, instead forcing people to change at Bath, which takes longer. Train from Bath is running late too of course.","delay_compensation","high","tfidf strong match","natural","delay_compensation","0.215","delay_compensation","tfidf-high","y","","","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"733248","@GWRHelp Bloody ridiculous 07:53 TWY-PAD again 3 carriage turbo! What are you playing at - we are not sardines! Should I just be grateful you let people on today unlike yesterday?!","on_board_issue","high","rule: onboard condition","natural","other","0.085","other","rule","y","","","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"2849263","@GWRHelp are you totally incompetent? Paddington tonight was a joke. No one knew what was happening, trains starting in Reading instead of Paddington. Info level a joke, staff attitude a joke. £8k a year for this????","service_disruption","medium","tfidf moderate match","natural","service_disruption","0.178","service_disruption","tfidf-med","y","","","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"1884566","@GWRHelp - still waiting for 4 days for seat reservation confirmation - doesn't help for over-crowded peak-hours. please resolve soonest.","seat_reservation","high","rule: seat reservation","natural","seat_reservation","0.171","seat_reservation","rule","y","","","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"2811081","@GWRHelp Great service on the West bound night riviera coach C. Like the refurb but a hook for the damp towel and small shelf for the key card would finish it off nicely.","praise_or_chatter","high","rule: seat reservation","targeted:seat_reservation","seat_reservation","0.179","seat_reservation","rule","y","y","praise_or_chatter","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"974663","@GWRHelp someone might want to look at your website... no long distance services at Paddington isn't a 'generally good service'! https://t.co/yaku4r4GuH","booking_issue","high","rule: website/booking","targeted:booking_issue","booking_issue","0.251","booking_issue","rule","y","","","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"2682814","@GWRHelp - is the second part of my journey running? I can't see that the train to Salisbury is running and not sure what to do as I have an advance ticket... currently sat on the bus replacement to Bristol... help?! https://t.co/phrDkhW7Wx","other","low","weak TF-IDF match; falls outside defined intents","natural","other","0.099","other","tfidf-low","y","","","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"1904787","@GWRHelp @120244 Morning. Are any additional trains being put on between Cardiff and Swansea on Sat night for the boxing?","timetable_info","low","weak TF-IDF match; falls outside defined intents","natural","other","0.089","other","tfidf-low","y","y","timetable_info","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"123664","@GWRHelp any idea when the train we are on will get in to Bristol parkway? It's the 22.45 Paddington to Swansea https://t.co/aVUuFxffoH","timetable_info","medium","tfidf moderate match","natural","lost_property","0.146","lost_property","tfidf-med","y","y","timetable_info","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"2566575","@GWRHelp hi trying to book a ticket and reserve a seat for the 8.26 CDF to PAD for tomorrow but none available. Are all seats fully booked?","seat_reservation","high","rule: seat reservation","targeted:seat_reservation","booking_issue","0.231","booking_issue","rule","y","","","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"1400988","@441906 @58398 that's how we want to see us play , awesome second half team performance , happy trip back to Cornwall now on @GWRHelp","praise_or_chatter","low","weak TF-IDF match; falls outside defined intents","natural","other","0.041","other","tfidf-low","y","y","praise_or_chatter","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"2228587","@GWRHelp Hi, I've just bought a ticket but the seat reservation seems to have disappeared. How can I book a reservation?","seat_reservation","high","rule: seat reservation","targeted:seat_reservation","seat_reservation","0.172","seat_reservation","rule","y","","","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"1019111","@GWRHelp i'm travelling from Penryn to Plymouth tomorrow and was wondering if i could take my surfboard on the train, can i do this?","other","medium","tfidf moderate match","natural","seat_reservation","0.132","seat_reservation","tfidf-med","y","y","other","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"1300309","@GWRHelp Hi,can you please confirm if the 1237 Roche to Newquay is running on Sat Nov. 4th &amp; the 1112 Newquay to Par on Sun Nov. 5th thanks!","timetable_info","high","rule: praise","natural","timetable_info","0.127","timetable_info","rule","y","y","timetable_info","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"1801260","@GWRHelp hi , whats happened to your 8 am Cardiff to Tainton service over last few days?  is it still running?","timetable_info","medium","tfidf moderate match","natural","timetable_info","0.111","timetable_info","tfidf-med","y","","","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"1440006","Really not happy. Lost/stolen train tickets at Exeter St David’s this morning. Have proof of purchase. @GWRHelp say must buy new ones.","lost_property","high","tfidf strong match","natural","lost_property","0.217","lost_property","tfidf-high","y","","","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"861973","@gwrhelp yet again travelling between Gloucester and Worcester a nightmare. Early train cancelled this one 25 mins late","service_disruption","high","rule: live cancellation/disruption","natural","service_disruption","0.162","service_disruption","rule","y","","","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"2189442","@GWRHelp am I gonna get more than £10 off my monthly ticket this month? Bc almost every train has been delayed incl 1.5 hrs y’day!","delay_compensation","low","top-2 intents equally close (see sims)","natural","delay_compensation","0.139","delay_compensation","tfidf-ambig","y","y","delay_compensation","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"2656045","It's almost as if @tfl AND @GWRHelp hate me and teamed up through a deep rooted disdain for my existence in an attempt to ruin my day...","other","low","weak TF-IDF match; falls outside defined intents","natural","other","0.055","other","tfidf-low","y","","","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"1232560","@gwrhelp are trains running Oxford to slough on 4 Nov? What engineering works will affect trains. I find the PDF on your website inscrutable","service_disruption","high","rule: live cancellation/disruption","targeted:booking_issue","booking_issue","0.222","booking_issue","rule","y","","","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"1096341","@GWRHelp - thank you for holding the 21.31 from Exeter St Davids to Exmouth tonight to wait for the late running London train 😇","praise_or_chatter","high","rule: praise","natural","timetable_info","0.123","timetable_info","rule","y","","","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"2343359","@GWRHelp hi there, last night my train got held for almost 1 hour. What can I do to claim a compensation?","delay_compensation","high","tfidf strong match","natural","delay_compensation","0.335","delay_compensation","tfidf-high","y","","","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"2113302","Gd news guys standing rm only on 16:15 from Pad 2 Ssea but the buffet is open! Seriously @GWRHelp get your priorities right.","on_board_issue","medium","tfidf moderate match","natural","on_board_issue","0.108","on_board_issue","tfidf-med","y","","","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"1854472","@GWRhelp why is there only three train cars on the 1742 Maidenhead to Paddington!! To many people in the train already?????","on_board_issue","medium","tfidf moderate match","natural","timetable_info","0.177","timetable_info","tfidf-med","y","y","on_board_issue","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"133135","@GWRHelp hi, why is the 07.53 TWY-PAD crawling? What time are we due into PAD? Late again?!","delay_compensation","high","rule: timetable/next train","targeted:timetable_info","other","0.096","other","rule","y","y","delay_compensation","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"1966804","@GWRHelp hello...is llanelli station still closed?","timetable_info","low","weak TF-IDF match; falls outside defined intents","natural","other","0.086","other","tfidf-low","y","y","timetable_info","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"700602","@GWRHelp are we going to move the 1536 SWI-Cheltenham today? It’s rammed, late and I’m going to miss my connection home. The London cancellations should have no bearing on this.","on_board_issue","low","weak TF-IDF match; falls outside defined intents","natural","other","0.08","other","tfidf-low","y","y","on_board_issue","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"2124466","@GWRHelp be good to know how long you think it’s going to be until the train blocking the line at Filton is going to take to be moved? Been over an hour now.","service_disruption","low","weak TF-IDF match; falls outside defined intents","natural","other","0.09","other","tfidf-low","y","y","service_disruption","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"1609530","Awesome member of staff at North Camp Station! Always going the extra mile for the customer! @GWRHelp @121203","praise_or_chatter","medium","tfidf moderate match","natural","praise_or_chatter","0.125","praise_or_chatter","tfidf-med","y","","","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"2464112","@GWRHelp your service on the reading to London paddington line is shocking at the moment, everyday delayed or cancelled trains! You are becoming the new southern rail! Pathetic","service_disruption","high","rule: live cancellation/disruption","natural","service_disruption","0.232","service_disruption","rule","y","","","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"1434588","@GWRHelp: Can I get a reservation on this afternoon’s 16:45 from RDG to PAD please. Reservations closing in nine mins...thanks!","seat_reservation","high","rule: praise","natural","other","0.093","other","rule","y","y","seat_reservation","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"1939900","@GWRHelp 18.16 from Reading to Maidenhead, still sat at Reading, no information as to why","delay_compensation","medium","tfidf moderate match","natural","timetable_info","0.105","timetable_info","tfidf-med","y","y","delay_compensation","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"43978","@GWRHelp how come I only receive a £10.50 refund when the engineering works were unplanned last month that's hardly fair","refund_request","high","rule: explicit refund","targeted:refund_request","refund_request","0.381","refund_request","rule","y","","","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"1073073","@GWRHelp too busy patting themselves on the back over the new trains that don't work properly. GWR are a disgrace.","other","low","top-2 intents equally close (see sims)","natural","service_disruption","0.115","service_disruption","tfidf-ambig","y","y","other","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"624055","@GWRHelp I spoke with an advisor who said I can get a refund or discount on my next months season ticket due to the cancellations/delays I’ve had this current month. How do i get this discount? There’s no where to do it online.","refund_request","high","rule: explicit refund","natural","refund_request","0.312","refund_request","rule","y","","","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"1317126","@GWRHelp I’m on the (late) 8:24 from Bristol to Cardiff. Can you confirm it’s stopping at Filton? The onboard messages say it’s not.","timetable_info","low","weak TF-IDF match; falls outside defined intents","natural","other","0.07","other","tfidf-low","y","y","timetable_info","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"969655","@GWRHelp Ticket office at Bramley is shut again this morning. What is the plan for Mon 23rd? I need to buy a monthly with 5% discount.","other","medium","tfidf moderate match","natural","delay_compensation","0.161","delay_compensation","tfidf-med","y","y","other","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"783612","@GWRHelp Are trains running to Parkway from 1730?","timetable_info","low","weak TF-IDF match; falls outside defined intents","natural","other","0.095","other","tfidf-low","y","y","timetable_info","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"2174313","Passengers waiting patiently while @GWRHelp tries to figure out why the train doors won't open. 7 min and counting... https://t.co/MHAa2kVmvi","service_disruption","medium","tfidf moderate match","natural","refund_request","0.136","refund_request","tfidf-med","y","y","service_disruption","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"838857","@GWRHelp hi, will the 0144 Paddington to Maidenhead tonight have a rail replacement service meeting it to continue on to Reading?","timetable_info","low","weak TF-IDF match; falls outside defined intents","natural","other","0.085","other","tfidf-low","y","y","timetable_info","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"2781238","@GWRHelp just out of interest, why is the 17:23 from Reading to Oxford invariably late?","delay_compensation","medium","tfidf moderate match","natural","lost_property","0.16","lost_property","tfidf-med","y","y","delay_compensation","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"1609855","Wifi ✔
Sockets ✔
@GWRHelp might just be my favourite train company.","praise_or_chatter","low","top-2 intents equally close (see sims)","natural","timetable_info","0.147","timetable_info","tfidf-ambig","y","y","praise_or_chatter","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"1561409","@GWRHelp Morning, is the HRW Connect service running as normal today? Aiming to catch 12.11 West Ealing to Paddington later if poss. Cheers","praise_or_chatter","high","rule: praise","natural","other","0.099","other","rule","y","","","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"1177214","@GWRHelp we were told specifically at Taunton station that we couldn't travel on a different train, now we've just seen this on your website https://t.co/CSq3Dhx54i","booking_issue","high","rule: website/booking","natural","booking_issue","0.227","booking_issue","rule","y","","","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"1061521","Dear @GWRHelp - How many names would it take to make this happen? Thank you in advance, Sam    https://t.co/AmOlpRUwvk","praise_or_chatter","high","rule: praise","natural","other","0.094","other","rule","y","","","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"1203047","@GWRHelp 4 days ago your train manager charged me for a ticket in error, he then made a refund which is still not in my account, how long?","refund_request","high","rule: explicit refund","targeted:refund_request","refund_request","0.36","refund_request","rule","y","","","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"2244762","@GWRHelp we are sorry to announce...chippenham To Paddington... Delayed 22 minutes..24 minutes..28 minutes...30 minutes...grrr, just tell us the actual delay ffs","delay_compensation","medium","tfidf moderate match","natural","delay_compensation","0.144","delay_compensation","tfidf-med","y","","","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"2506119","@GWRHelp When will engineering works/train times from Paddington to Bath on 16th Dec be finalised, please? Need to plan travel asap, Future Engineeering Works on Nat Rail website just says, 'Check nearer the time'","service_disruption","high","rule: live cancellation/disruption","targeted:booking_issue","booking_issue","0.193","booking_issue","rule","y","","","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"1113132","More excited that I should be about being on a @GWRHelp direct train Bristol to Oxford right now. Not changing at Didcot is a dream. https://t.co/yAWmX46UpJ","praise_or_chatter","low","top-2 intents equally close (see sims)","natural","service_disruption","0.101","service_disruption","tfidf-ambig","y","y","praise_or_chatter","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"2822529","@GWRHelp Hi. Forgot my season ticket so had to buy a ticket - how does it work getting this refunded?","refund_request","medium","tfidf moderate match","targeted:lost_property","delay_compensation","0.179","delay_compensation","tfidf-med","y","y","refund_request","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"1566584","loving the new trains @GWRHelp - even smells new! 😍 https://t.co/A8Gfdj9AN1","praise_or_chatter","medium","tfidf moderate match","natural","timetable_info","0.107","timetable_info","tfidf-med","y","y","praise_or_chatter","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"1688158","@GWRHelp I'm stranded @68008 wanting to go home to SVB - there are no bus operators to SVB - help?","other","low","weak TF-IDF match; falls outside defined intents","natural","other","0.099","other","tfidf-low","y","","","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"1873942","@GWRHelp 06:26 Blackwater to Guildford late every day this week missed connection 0653 Guildford to London Waterloo three times! 😤😤","delay_compensation","medium","tfidf moderate match","natural","delay_compensation","0.15","delay_compensation","tfidf-med","y","","","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"154936","@GWRHelp unbearable trip to Bristol on an 'off peak' 16:30 service from Paddington to Bristol Temple Meads. Not even enough room to stand in the isles and £77 for the privilege #daylightrobbery https://t.co/xV0f10eKaz","on_board_issue","low","top-2 intents equally close (see sims)","natural","delay_compensation","0.119","delay_compensation","tfidf-ambig","y","y","on_board_issue","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"1940666","@GWRHelp 5:30 from Paddington to Swindon delayed, will connecting train 6:43 to Glos be held as next one is cancelled so last for tonight","service_disruption","high","rule: live cancellation/disruption","natural","service_disruption","0.171","service_disruption","rule","y","","","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"1960303","@GWRHelp any estimate of when services will resume around NBY? 20:10 from TVP to PAD been stuck at PEW a while now. Facing a late night!","service_disruption","low","weak TF-IDF match; falls outside defined intents","natural","other","0.093","other","tfidf-low","y","y","service_disruption","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"2788047","@GWRHelp can you tell me why the 18:45 is travelling at 35mph ? Your TM announced hot and cold snacks but omitted to mention the trains somewhat “relaxed” progress ...","delay_compensation","low","weak TF-IDF match; falls outside defined intents","natural","other","0.075","other","tfidf-low","y","y","delay_compensation","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"580725","@GWRHelp purchased advance MAI to Bath Spa via RDG. 10:31 to RDG. cancelled. I complete my part of the contract in good faith, keep up yours please. Will be claiming refund as matter of principle. Shocking service.","refund_request","high","rule: explicit refund","targeted:refund_request","refund_request","0.221","refund_request","rule","y","","","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"1619927","@GWRHelp lovely weekend away ruined right at the end by your TERRIBLE SERVICE. train from bath to Paddington-standing for the whole thing?!","on_board_issue","low","top-2 intents equally close (see sims)","natural","service_disruption","0.13","service_disruption","tfidf-ambig","y","y","on_board_issue","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"2468985","@GWRHelp just been sitting on a train heading to Ealing Broadway, seconds before it’s due to leave it’s announced that it’s going fast to West Drayton! I can’t believe that will save any time and all you’ve done is lose a customer as I’m fed up with your service!","other","medium","tfidf moderate match","natural","lost_property","0.138","lost_property","tfidf-med","y","y","other","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"1846835","@GWRHelp - shambolic trip on 7.15 pm train to Cdf   -  probably  standing all the way despite booked  seat -  this rubbish cost over £70 . https://t.co/X5TF49GzR6","on_board_issue","medium","tfidf moderate match","natural","on_board_issue","0.185","on_board_issue","tfidf-med","y","","","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"2897312","@GWRHelp I’ve got a season ticket which I no longer need, am I able to get the weeks I’m not using refunded? If so, how do I go about this?","refund_request","low","top-2 intents equally close (see sims)","natural","delay_compensation","0.108","delay_compensation","tfidf-ambig","y","y","refund_request","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"853495","@gwrhelp lost a file on the delayed 9am Paddington to Bristol Temple Mead today if anyone has it? Please help. Have reported.","lost_property","high","rule: lost item","natural","lost_property","0.137","lost_property","rule","y","","","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"733207","@GWRHelp 9:27 from PAD delayed because driver not allowed to drive without a break. Do you have only one driver for this service?","delay_compensation","low","weak TF-IDF match; falls outside defined intents","natural","other","0.075","other","tfidf-low","y","y","delay_compensation","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"1135396","@GWRHelp baffled that this train is unable to provide any form of heat 😩","on_board_issue","low","weak TF-IDF match; falls outside defined intents","natural","other","0.086","other","tfidf-low","y","y","on_board_issue","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"989094","@GWRHelp on a train from Swindon and Paddington and can’t get a seat, when you pay £50 for a ticket, not good enough 😡😡","on_board_issue","medium","tfidf moderate match","natural","seat_reservation","0.155","seat_reservation","tfidf-med","y","y","on_board_issue","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"1014147","@44464 1928 Didcot - Bristol parkway I can’t sit in my reserved seat, can I get a refund? Heard something on tannoy but didn’t understand!","refund_request","high","rule: explicit refund","targeted:seat_reservation","refund_request","0.273","refund_request","rule","y","","","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"595877","Brilliant. Another delayed @GWRHelp train costs me an hour of my life. Monopolised scum, it truly is.","delay_compensation","high","rule: praise","natural","delay_compensation","0.19","delay_compensation","rule","y","y","delay_compensation","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"1546932","@GWRHelp I've left a leaving card with a voucher for a meal on your 23.42 out of Paddington to Oxford. I got off at Maidenhead","lost_property","high","rule: lost item","targeted:lost_property","lost_property","0.225","lost_property","rule","y","","","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"543036","Looking forward to next week - have a packed week meeting with the @GWRHelp #GWRTrains team talking #WestCountry... https://t.co/TRrTG3c3dA","other","high","rule: onboard condition","natural","other","0.043","other","rule","y","y","other","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"1208104","Love a delayed train 🤔 @GWRHelp","delay_compensation","medium","tfidf moderate match","natural","delay_compensation","0.172","delay_compensation","tfidf-med","y","","","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"926351","Buzzing for a day when I  get on a @GWRHelp train and it is on time, realistically this will be never ☺️","delay_compensation","medium","tfidf moderate match","natural","timetable_info","0.145","timetable_info","tfidf-med","y","y","delay_compensation","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"782121","@GWRHelp third time this week the seat reservations have been double booked between didcot &amp; Paddington Can you sort this out please.","seat_reservation","medium","tfidf moderate match","natural","seat_reservation","0.149","seat_reservation","tfidf-med","y","","","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"2697643","@GWRHelp GWR violates passenger charter by not honouring #delayrepay 
#passengercharter #shitservice","delay_compensation","high","rule: delay repay/compensation","natural","other","0.061","other","rule","y","","","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"2514816","@GWRHelp some people would love to get to work on time, maybe just once this year will a train leave southall on time 🤷🏽‍♀️ https://t.co/NC3tcMZwXF","delay_compensation","medium","tfidf moderate match","natural","timetable_info","0.199","timetable_info","tfidf-med","y","y","delay_compensation","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"984031","@GWRHelp Hello, are there any disruptions due to engineering works/rail replacement buses between Twyford and Paddington today please?","service_disruption","high","rule: live cancellation/disruption","natural","refund_request","0.103","refund_request","rule","y","","","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"893366","Poor info service to customers @GWRHelp, waiting 40 min for a train due 2 breakdown, your staff should be guiding customers to alt services","on_board_issue","medium","tfidf moderate match","natural","on_board_issue","0.114","on_board_issue","tfidf-med","y","","","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"634082","@GWRHelp DO I NEED TO GETTHE 16:45 OR IS THE 16:49 AN 8 CAR HST AS ITS SUPPOSED TO BE ? https://t.co/nmnn5mvyVg","other","low","weak TF-IDF match; falls outside defined intents","natural","other","0.088","other","tfidf-low","y","","","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"2221732","@gwrhelp 15.29 Swansea to Paddington leaking through most windows in my carriage. Plus some aisle seats. Not good on a train in Wales.","on_board_issue","low","top-2 intents equally close (see sims)","natural","seat_reservation","0.135","seat_reservation","tfidf-ambig","y","y","on_board_issue","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"1122469","Hey @GWRHelp why the delay on Chippenham to Bristol this morning?","delay_compensation","low","weak TF-IDF match; falls outside defined intents","natural","other","0.09","other","tfidf-low","y","y","delay_compensation","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"846286",".@GWRHelp Very weird that the ticket I want for tomorrow is just not possible, yet other online companies can do this.","booking_issue","medium","tfidf moderate match","natural","booking_issue","0.105","booking_issue","tfidf-med","y","","","auto-cascade-v1","2026-09-13T13:20:43+00:00"
"673796","@GWRHelp what’s happened to the 0930 Bristol TM - Paddington?","service_disruption","medium","tfidf moderate match","natural","service_disruption","0.145","service_disruption","tfidf-med","y","","","auto-cascade-v1","2026-09-13T13:20:43+00:00"
