brand,root_id,first_inbound_tweet_id,customer_text,n_tweets,sampling_bucket,audit_pool_rank
GWRHelp,49452,49452,@GWRHelp Why not possible to book sleeper on your site? Says follow link to GWR site &gt; then takes you back to very same greyed out box. 🤷‍♂️ https://t.co/r6ujPLwjhW,6,deep_multi_turn,35
GWRHelp,133166,133166,Why was the 7:21 from St Austell to Truro cancelled? @GWRHelp,6,deep_multi_turn,36
GWRHelp,1326055,1326055,@GWRHelp might take my bike on the IET over the weekend. Which carriages are the cycle racks and is reservation compulsory? #GreenAzuma,12,deep_multi_turn,40
GWRHelp,2566575,2566575,@GWRHelp hi trying to book a ticket and reserve a seat for the 8.26 CDF to PAD for tomorrow but none available. Are all seats fully booked?,4,three_to_four_tweet,18
GWRHelp,2369368,2369368,Outraged at #greatwesternrailway charging almost £50 for my boyfriend to be stood like this for 2 hours @GWRHelp It's disgusting you treat your customers like this https://t.co/H0gxeTnbH0,3,three_to_four_tweet,19
GWRHelp,1004268,1004268,@GWRHelp what is this for? https://t.co/4dTmQeLeU7,4,three_to_four_tweet,23
GWRHelp,2655972,2655972,Been up to London this weekend. Thanks @GWRHelp for great service on Friday and Saturday back home despite diversion due to Severn tunnel works still arrived into NWP on time 😊,2,two_tweet,1
GWRHelp,1581157,1581157,@GWRHelp at seat power not working on 7.30 from Cheltenham #batteryanxiety . We appears to be whole train fault grrrrr,2,two_tweet,2
GWRHelp,618448,618448,Here we are again @GWRHelp any chance of a loyalty card? Seen this platform more than anything else haha! https://t.co/x9blkDySsT,2,two_tweet,6
GWRHelp,987131,987131,"@GWRHelp is Appalling. 1 over capacity train, 1 cancelled and a now on a train with everyone standing. £44 for what?#gwr #networkrail #scam",2,two_tweet,16
Tesco,894413,894413,@Tesco why aren't you stocking Lynx Apollo antiperspirant? My nearest Superdrug store is half an hour away and it's £4,6,deep_multi_turn,35
Tesco,1659584,1659584,@Tesco I just bought a fresh pasta sauce from your Summertown express and somehow plastic tab was broken and has now leaked all over my bag!,7,deep_multi_turn,36
Tesco,2913708,2913708,"@Tesco yay! New (pack size).
Ah 5 instead of 6.
😣
#shrinkflation https://t.co/KqkFiclrux",6,deep_multi_turn,40
Tesco,1432055,1432055,"@Tesco Hi, is there a problem with the direct site at the moment? Struggling to buy car seat and can't understand why? #babybrain",4,three_to_four_tweet,18
Tesco,1181378,1181378,@Tesco Skipton petrol @Tesco station refused to give token/code 4 tyre air pump. Also refused to give cash back to pay 50p air. #boycottTeso,3,three_to_four_tweet,19
Tesco,2387681,2387681,"@Tesco saving 10p per litre of fuel ⛽️ discriminates against your electric vehicle 🚗 customers. Can you not come up with an offer for us to shop at your stores too? From a long time Tesco customer, but one who is doing their part for the environment 🍃",3,three_to_four_tweet,23
Tesco,1855598,1855598,"@Tesco hi, what time does your lewes shop close on nov 4th for bonfire celebrations? #thankyou",2,two_tweet,1
Tesco,1496811,1496811,"Went to buy a chicken from the deli counter as the lady was reducing them. ""The lady over there is having them all"" was my reply. @Tesco",2,two_tweet,2
Tesco,2530756,2530756,Halloween competition by Alba age 5 @Tesco #EveryLittleHelps #mirrorwriting #lefthanded https://t.co/9vj1In7ZrL,2,two_tweet,6
Tesco,543211,543211,"Service that can only be described as atrocious @Tesco Amesbury cafe this morning.  Tables dirty, slow service and rude staff.  Not even busy!",2,two_tweet,16
VerizonSupport,1744014,1744014,@VerizonSupport great going. Your web site won't support my phone browser anymore. Congratulations for messing it up.,5,deep_multi_turn,35
VerizonSupport,2521088,2521088,@VerizonSupport love waiting for a call back from support for 12 minutes to immediately be hung up on,10,deep_multi_turn,36
VerizonSupport,247858,247858,@VerizonSupport where is my redemption code? i claimed the reward for apple music and you said use code to redeem. what code? where? #farce,5,deep_multi_turn,40
VerizonSupport,714981,714981,"Does @168151 #CenterIce have a clue? They're giving us #STLvsNYR, which should be blacked out &amp; are blacking out #CARvsCBJ. @115722",3,three_to_four_tweet,18
VerizonSupport,2647508,2647508,"@VerizonSupport SECONDVWEEK IN A ROW.   Pd for NFL red zone. Can’t get the channel.  Last week 5 calls to customer svce- wait for rep almost one hour -never got through this  Today, got through one hour 20 min with rep. Not re solved Promised callback 1 hr- never was called back",4,three_to_four_tweet,19
VerizonSupport,979289,979289,@115722 When is the G1100 router going to get a #firmware updated to protect against the #KrackAttack ?,3,three_to_four_tweet,23
VerizonSupport,2460477,2460477,@115725 I just moved 4 miles away and had issues with technician and disruptive service. I was promised the same pricing but the bill is more than what I was quoted. I’m very disappointed.,2,two_tweet,1
VerizonSupport,2476955,2476955,@115955 I went from great sevice with FIOS to bad with Comcast and now even worse with Spectrum.,2,two_tweet,2
VerizonSupport,270503,270503,@180138 having an issue signing into Verizon as tv provider to watch Yankee game 😞,2,two_tweet,6
VerizonSupport,374697,374697,@115722 worst customer service ever!!!! Recording says wait time 10-13 minutes wait 35 min later still waiting 😡😡,2,two_tweet,16
